,title,groups,keywords,topics
202,Unsupervised Alignment of Natural Language Instructions with Video Segments,"Machine Learning Applications (MLA)
NLP and Machine Learning (NLPML)","Unsupervised Video Alignment
Grounded Language Acquisition
HMM
IBM Model 1
Language and Vision","MLA: Applications of Unsupervised Learning
NLPML: Natural Language Processing (General/Other)
VIS: Language and Vision"
203,Detecting information-dense texts in multiple news domains,"AI and the Web (AIW)
NLP and Knowledge Representation (NLPKR)
NLP and Machine Learning (NLPML)
NLP and Text Mining (NLPTM)","writing style
information-dense text
summarization","AIW: Human language technologies for web systems, including text summarization and machine translation
NLPKR: Semantics and Summarization
NLPML: Text Classification
NLPTM: Natural Language Processing (General/Other)"
204,Smarter Than You Think: Acquiring Comparative Commonsense from the Web,"AI and the Web (AIW)
NLP and Text Mining (NLPTM)","commonsense knowledge
information extraction
word sense disambiguation","AIW: Knowledge acquisition from the web
NLPTM: Information Extraction"
205,A reasoner for the RCC-5 and RCC-8 calculi extended with constants,"Knowledge Representation and Reasoning (KRR)
Reasoning under Uncertainty (RU)
Search and Constraint Satisfaction (SCS)","Qualitative spatial reasoning
Constraint Satisfaction Problems
Landmarks","KRR: Computational Complexity of Reasoning
KRR: Geometric, Spatial, and Temporal Reasoning
KRR: Qualitative Reasoning
RU: Uncertainty in AI (General/Other)
SCS: Constraint Satisfaction"
206,Schedule-based Robotic Search for Multiple Residents in a Retirement Home Environment,"Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)
Robotics (ROB)","Uncertainty in AI
Probabilistic Planning
Temporal Planning
Robotics","PS: Probabilistic Planning
PS: Temporal Planning
RU: Uncertainty in AI (General/Other)
ROB: Robotics (General/Other)"
207,Diagram Understanding in Geometry Problems,Applications (APP),"Diagram Understanding
Submodular Optimization
Language and Vision","APP: Other Applications
VIS: Language and Vision"
208,Latent Domains Modeling for Domain Adaptation,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)
Vision (VIS)","latent model
local linear subspace
domain adaptation","MLA: Applications of Unsupervised Learning
MLA: Machine Learning Applications (General/other)
NMLA: Clustering
NMLA: Feature Construction/Reformulation
NMLA: Transfer, Adaptation, Multitask Learning
NMLA: Semisupervised Learning
VIS: Categorization
VIS: Object Recognition
VIS: Statistical Methods and Learning"
209,Improving Domain-independent Cloud-based Speech Recognition with Domain-dependent Phonetic Post-processing,"AI and the Web (AIW)
Applications (APP)
NLP and Knowledge Representation (NLPKR)
Robotics (ROB)","speech recognition
phonetics
domain-dependent knowledge","AIW: Human language technologies for web systems, including text summarization and machine translation
APP: Intelligent User Interfaces
NLPKR: Natural Language Processing (General/Other)
ROB: Human-Robot Interaction"
210,A Strategy-Aware Technique for Learning Behaviors from Discrete Human Feedback,"Humans and AI (HAI)
Novel Machine Learning Algorithms (NMLA)","Learning from Feedback
Human Computer Interaction
Reinforcement Learning
Canine Learning","APP: Philosophical and Ethical Issues
CM: Bayesian Learning
HCC: Active learning from imperfect human labelers
HAI: Human-Computer Interaction
NMLA: Bayesian Learning
NMLA: Reinforcement Learning
ROB: Human-Robot Interaction"
211,Learning Instance Concepts from Multiple-Instance Data with Bags as Distributions,,"multiple-instance learning
supervised learning
classification","NMLA: Evaluation and Analysis (Machine Learning)
NMLA: Supervised Learning (Other)
NMLA: Machine Learning (General/other)"
212,Tractability through Exchangeability: A New Perspective on Efficient Probabilistic Inference,Reasoning under Uncertainty (RU),"efficient inference
lifted inference
probabilistic inference
exchangeability
statistical relational learning","RU: Probabilistic Inference
RU: Relational Probabilistic Models"
213,Collaborative Models for Referring Expression Generation in Situated Dialogue,NLP and Machine Learning (NLPML),"referring expression generation
collaborative models
situated dialogue","NLPML: Discourse and Dialogue
NLPML: Natural Language Processing (General/Other)"
214,Efficient Optimization for Autonomous Manipulation of Natural Objects,"Machine Learning Applications (MLA)
Robotics (ROB)","Robotic grasping
Planning
Bayesian optimization
Gaussian Processes
Anytime optimization","MLA: Machine Learning Applications (General/other)
ROB: Behavior and Control
ROB: Robotics (General/Other)"
215,Effective Management of Electric Vehicle Storage using Smart Charging,Computational Sustainability and AI (CSAI),"Electric Vehicles
Smart Grid
Optimization
Reinforcement Learning",CSAI: Control and optimization of dynamic and spatiotemporal systems
216,Social Planning: Achieving Goals by Altering Others' Mental States,"Cognitive Systems (CS)
Planning and Scheduling (PS)","Cognitive Systems
Social Planning
Deception","CS: Conceptual inference and reasoning
CS: Social cognition and interaction
CS: Problem solving and decision making
KRR: Reasoning with Beliefs
PS: Planning (General/Other)"
217,Feature-Cost Sensitive Learning with Submodular Trees of Classifiers,Novel Machine Learning Algorithms (NMLA),"submodular optimization
feature-cost sensitive learning
tree-based learning","NMLA: Classification
NMLA: Supervised Learning (Other)"
218,Multiagent Metareasoning Through Organizational Design,"Multiagent Systems (MAS)
Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)","organizational design
Dec-MDP
multiagent metareasoning","MAS: Coordination and Collaboration
MAS: Multiagent Planning
MAS: Multiagent Systems (General/other)
PS: Markov Models of Environments
PS: Model-Based Reasoning
PS: Probabilistic Planning
RU: Decision/Utility Theory
RU: Sequential Decision Making"
219,Experiments on Visual Information Extraction with the Faces of Wikipedia,"AI and the Web (AIW)
Vision (VIS)","Web mining
Information extraction
Text processing
Face verification
Identity resolution
Face recognition","AIW: Knowledge acquisition from the web
VIS: Face and Gesture Recognition
VIS: Image and Video Retrieval
VIS: Language and Vision"
220,Signals in the Silence: Models of Implicit Feedback in a Recommender System for Crowdsourcing,"AI and the Web (AIW)
Applications (APP)
Human-Computation and Crowd Sourcing (HCC)
Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","Crowdsourcing
Recommendation Systems
Implicit Feedback
Matrix Factorization","AIW: Crowdsourcing techniques and methodologies
AIW: Web-based recommendation systems
APP: Other Applications
HCC: Programming languages, tools and platforms to support human computation
MLA: Machine Learning Applications (General/other)
NMLA: Recommender Systems"
221,A Convex Formulation for Semi-supervised Multi-Label Feature Selection,Machine Learning Applications (MLA),"Semi-supervised Learning
Multi-Label Feature Selection
Convex Algorithm","NMLA: Classification
NMLA: Dimension Reduction/Feature Selection"
222,A Spatially Sensitive Kernel to Predict Cognitive Performance from Short-Term Changes in Neural Structure,Machine Learning Applications (MLA),"Machine Learning
Neuroimaging
Kernel Methods
Wide Data
Alzheimer's Disease","APP: Biomedical / Bioinformatics
MLA: Bio/Medicine
MLA: Applications of Supervised Learning"
223,GP-Localize: Persistent Mobile Robot Localization using Online Sparse Gaussian Process Observation Model,Robotics (ROB),"Robot localization
Gaussian process
Online learning","MLA: Applications of Supervised Learning
NMLA: Online Learning
ROB: Localization, Mapping, and Navigation
ROB: State Estimation"
224,On Detecting Nearly Structured Preference Profiles,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","single-peaked preferences
single-crossing preferences
approximation algorithms
forbidden configurations",GTEP: Social Choice / Voting
225,Relational One-Class Classification: A Non-Parametric Approach,"Novel Machine Learning Algorithms (NMLA)
Reasoning under Uncertainty (RU)","One-class classification
Statistical Relational Learning
Ensemble learning","NMLA: Ensemble Methods
NMLA: Relational/Graph-Based Learning
RU: Relational Probabilistic Models"
226,Using Narrative Function to Extract Qualitative Information from Natural Language Texts,Cognitive Systems (CS),"Cognitive Systems
Qualitative Representation
Natural Language Understanding",CS: Natural language understanding and dialogue
227,A spatio-temporal pattern mining algorithm to identify objects in a continuous field: A global oceanography perspective,Computational Sustainability and AI (CSAI),"spatio-temporal data mining
oceanography
pattern mining","CSAI: Modeling and prediction of dynamic and spatiotemporal phenomena and systems
CSAI: Control and optimization of dynamic and spatiotemporal systems
CSAI: Modeling and control of complex high-dimensional systems
CSAI: Sensor networks for monitoring environments
NMLA: Data Mining and Knowledge Discovery
NMLA: Time-Series/Data Streams
NMLA: Unsupervised Learning (Other)"
228,Efficient codes for inverse dynamics during walking,Cognitive Modeling (CM),"machine learning
inverse dynamics
movement",CM: Simulating Humans
229,Anytime Active Learning,"Human-Computation and Crowd Sourcing (HCC)
Machine Learning Applications (MLA)","active learning
non-uniform labeling costs
document classification","HCC: Cost, reliability, and skill of labelers
NLPML: Text Classification
NMLA: Active Learning"
230,Elimination Ordering in Lifted First-Order Probabilistic Inference,Reasoning under Uncertainty (RU),"Lifted inference
Elimination orderings
Probabilistic inference
Statistical relational AI","RU: Probabilistic Inference
RU: Relational Probabilistic Models"
231,Predicting Postoperative Atrial Fibrillation from Independent ECG Components,"Applications (APP)
Machine Learning Applications (MLA)","atrial fibrillation
independent components
medicine","APP: Biomedical / Bioinformatics
MLA: Bio/Medicine"
232,Online Multi-Task Learning via Sparse Dictionary Optimization,Novel Machine Learning Algorithms (NMLA),"multi-task learning
transfer learning
lifelong learning
sparse coding
k-svd","NMLA: Online Learning
NMLA: Transfer, Adaptation, Multitask Learning"
233,"Betting Strategies, Market Selection, and the Wisdom of Crowds",Game Theory and Economic Paradigms (GTEP),"Prediction market
Market selection
Kelly betting
CRRA utilities",GTEP: Auctions and Market-Based Systems
234,"Where and Why Users ""Check In""","AI and the Web (AIW)
Applications (APP)","Location Based Social Network
Point Processes
Temporal Clustering
Social Network Analysis","AIW: Social networking and community identification
APP: Computational Social Science
APP: Social Networks"
235,Designing Fast Absorbing Markov Chains,"Heuristic Search and Optimization (HSO)
Novel Machine Learning Algorithms (NMLA)","MCMC
Markov Chain
Absorption time","HSO: Evaluation and Analysis (Search and Optimization)
HSO: Search (General/Other)
NMLA: Machine Learning (General/other)"
236,Symbolic Model Checking Epistemic Strategy Logic,Multiagent Systems (MAS),"Logic of Knowledge
Strategic Reasoning
Model Checking","MAS: Coordination and Collaboration
MAS: Evaluation and Analysis (Multiagent Systems)"
237,A Scheduler for Actions with Iterated Durations,Planning and Scheduling (PS),"Scheduling
Loops
Preference
Optimization",PS: Scheduling
238,Materials Discovery - Synthetic and Real World Datasets,"Computational Sustainability and AI (CSAI)
Heuristic Search and Optimization (HSO)
Machine Learning Applications (MLA)
Search and Constraint Satisfaction (SCS)","Materials discovery
Dataset
Phase-map identification problem","CSAI: Modeling and control of complex high-dimensional systems
MLA: Applications of Unsupervised Learning
SCS: Constraint Optimization"
239,Automatic Synthesis of Geometry Problems for an Intelligent Tutoring System,Applications (APP),"Problem Synthesis
Automated Reasoning
Computer-Aided Education
Intelligent Tutor",APP: Computer-Aided Education
240,Modeling Subjective Experience-based Learning under Uncertainty and Frames,"Cognitive Modeling (CM)
Novel Machine Learning Algorithms (NMLA)
Reasoning under Uncertainty (RU)","subjective experience-based learning
subjective value function
prospect theory
subjective discriminability
experienced utility
decision utility
gain frame
loss frame","CM: Adaptive Behavior
CM: Simulating Humans
NMLA: Reinforcement Learning
RU: Decision/Utility Theory"
241,Resolving Pronouns by Leveraging English Resources,NLP and Text Mining (NLPTM),"Pronouns
Text Mining
Natural Language Processing",NLPML: Evaluation and Analysis
242,Bagging by design (on the sub-optimality of bagging),Novel Machine Learning Algorithms (NMLA),"bagging
bootstrapping
combinatorial design
noise stability
correlation
dependent sampling","NMLA: Classification
NMLA: Ensemble Methods
NMLA: Supervised Learning (Other)
NMLA: Machine Learning (General/other)"
243,A Hybrid Grammar-Based Approach for Learning and Recognizing Natural Hand Gestures,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","Iconic Hand Gestures
Stochastic Context-Free Grammar
Machine learning
Classification","MLA: Applications of Supervised Learning
NMLA: Classification
NMLA: Graphical Model Learning
NMLA: Supervised Learning (Other)
NMLA: Machine Learning (General/other)
VIS: Face and Gesture Recognition"
244,Combining Heterogenous Social and Geographical Information for Event Recommendation,"AI and the Web (AIW)
Novel Machine Learning Algorithms (NMLA)","heterogeneous social networks
event recommendation
geographical features","AIW: Web-based recommendation systems
NMLA: Recommender Systems"
245,"Leveraging Fee-Based, Imperfect Advisors in Human-Agent Games of Trust",Humans and AI (HAI),"advisors
trust games
investment game
bribery",HAI: Human-Computer Interaction
246,GenEth: A General Ethical Dilemma Analyzer,"Applications (APP)
Humans and AI (HAI)
Machine Learning Applications (MLA)","machine ethics
concept learning
application","APP: Philosophical and Ethical Issues
HAI: Human-Computer Interaction
HAI: Understanding People, Theories, Concepts and Methods
KRR: Logic Programming
MLA: Applications of Supervised Learning
MLA: Machine Learning Applications (General/other)"
247,Solving the Traveling Tournament Problem by Packing Three-Vertex Paths,"Heuristic Search and Optimization (HSO)
Planning and Scheduling (PS)","traveling tournament problem
sports scheduling
scheduling optimization
graph theory","HSO: Heuristic Search
HSO: Optimization
PS: Scheduling"
248,Gradient Descent Method with Proximal Average for Nonconvex and Composite Regularization,Novel Machine Learning Algorithms (NMLA),"non-convex optimization
composite regularization
proximal average","NMLA: Big Data / Scalability
NMLA: Dimension Reduction/Feature Selection"
249,Multilabel Classification with Label Correlations and Missing Labels,Novel Machine Learning Algorithms (NMLA),"multilabel classification
label correlation
missing label",NMLA: Classification
250,Double Configuration Checking in Stochastic Local Search for Satisfiability,"Heuristic Search and Optimization (HSO)
Search and Constraint Satisfaction (SCS)","Double Configuration Checking
Stochastic Local Search
Satisfiability
Phase Transition","HSO: Heuristic Search
SCS: Constraint Satisfaction
SCS: SAT and CSP: Solvers and Tools"
251,Direct Semantic Analysis for Social Image Classification,"Machine Learning Applications (MLA)
Vision (VIS)","social image classification
latent semantic analysis
graph-based learning
bag-of-words","MLA: Machine Learning Applications (General/other)
VIS: Image and Video Retrieval
VIS: Statistical Methods and Learning"
252,On the Structure of Synergies in Cooperative Games,Game Theory and Economic Paradigms (GTEP),"Cooperative game theory
Shapley value
Weighted voting games",GTEP: Game Theory
253,Similarity-preserving binary signature for linear subspace,Novel Machine Learning Algorithms (NMLA),"linear subspace
angular distance
binary signature
Hamming distance",NMLA: Data Mining and Knowledge Discovery
254,Sample-Adaptive Multiple Kernel Learning,Novel Machine Learning Algorithms (NMLA),"Latent Support Vector Machine
Multiple Kernel Learning
Inference","NMLA: Classification
NMLA: Ensemble Methods
NMLA: Kernel Methods
NMLA: Supervised Learning (Other)"
255,Learning Temporal Dynamics of Behavior Propagation in Social Networks,"AI and the Web (AIW)
Applications (APP)","Temporal Dynamics
Social Influence
Behavior Propagation
Behavior Prediction
Social Networks","AIW: Exploiting Linked Open Data
AIW: Social networking and community identification
AIW: Web personalization and user modeling
AIW: Web-based recommendation systems
APP: Computational Social Science
APP: Social Networks"
256,Delivering Guaranteed Display Ads under Reach and Frequency Requirements,"AI and the Web (AIW)
Applications (APP)
Heuristic Search and Optimization (HSO)
Planning and Scheduling (PS)","Online Advertising
Math programming
Optimization
Column Generation
Guaranteed Targeted Display Advertising
Reach
Frequency
Uniform Delivery","AIW: AI for web services: semantic descriptions, planning, matching, and coordination
APP: Other Applications
HSO: Optimization
PS: Deterministic Planning
PS: Planning (General/Other)"
257,Video Recovery via Low-Rank Tensor Completion with Spatio-Temporal Consistency,Vision (VIS),"Video completion
Tensor completion
Augmented Langrange Multiplier Method",VIS: Videos
258,Robust Multi-View Spectral Clustering via Low-Rank and Sparse Decomposition,Novel Machine Learning Algorithms (NMLA),"multi-view clustering
spectral clustering
low-rank matrices
Markov chains
Augmented Lagrangian Multiplier method",NMLA: Clustering
259,Ranking Tweets by Labeled and Collaboratively Selected Pairs with Transitive Closure,"Heuristic Search and Optimization (HSO)
Machine Learning Applications (MLA)
NLP and Machine Learning (NLPML)
Novel Machine Learning Algorithms (NMLA)","Microblog search
semi-supervised learning
transitive closure
learning to rank
SVM","APP: Social Networks
NMLA: Semisupervised Learning"
260,Globally and Locally Consistent Unsupervised Projection,Novel Machine Learning Algorithms (NMLA),"Unsupervised learning
Dimension reduction
L1-norm minimization and maximization",NMLA: Unsupervised Learning (Other)
261,On the Incompatibility of Efficiency and Strategyproofness in Randomized Social Choice,Game Theory and Economic Paradigms (GTEP),"social decision schemes
lotteries
efficiency
strategyproofness
randomized social choice","GTEP: Game Theory
GTEP: Social Choice / Voting"
262,Context-aware Collaborative Topic Regression with Social Matrix Factorization for Recommender Systems,AI and the Web (AIW),"Context-awareness
Topic modeling
Matrix Factorization
Social Networks",AIW: Web-based recommendation systems
263,Deep Salience: Visual Salience Modeling via Deep Belief Propagation,"Robotics (ROB)
Vision (VIS)","Visual Salience
Gaze Modelling
Deep Belief Propagation
Random Field","CM: Cognitive Architectures
ROB: Cognitive Robotics
VIS: Object Detection
VIS: Perception"
264,A Local Non-negative Pursuit Method for Intrinsic Manifold Structure Preservation,Novel Machine Learning Algorithms (NMLA),"neighborhood selection
non-negative representation learning
intrinsic manifold structure preservation","NMLA: Clustering
NMLA: Dimension Reduction/Feature Selection
NMLA: Unsupervised Learning (Other)"
265,Regret-based Optimization and Preference Elicitation for Stackelberg Security Games with Uncertainty,Game Theory and Economic Paradigms (GTEP),"security game
robust optimization
minimax regret
preference elicitation
payoff uncertainty",GTEP: Game Theory
266,Adding Local Exploration to Greedy Best-First Search for Satisficing Planning,"Heuristic Search and Optimization (HSO)
Planning and Scheduling (PS)","Heuristic Search
Satisficing Planning
Greedy Best First Search","HSO: Heuristic Search
HSO: Search (General/Other)
PS: Deterministic Planning"
267,Pre-trained Multi-view Word Embedding using Two-side Neural Network,"AI and the Web (AIW)
Novel Machine Learning Algorithms (NMLA)","word embedding
neural network
pre-train
multiple data sources","AIW: Machine learning and the web
NMLA: Neural Networks/Deep Learning"
268,Trust Prediction with Propagation and Similarity Regularization,"AI and the Web (AIW)
Applications (APP)","Trust prediction
Social network
Trust propagation
Trust tendency","AIW: Representing, reasoning, and using provenance, trust, privacy, and security on the web
APP: Social Networks"
269,Recommendation by Mining Multiple User Behaviors with Group Sparsity,AI and the Web (AIW),"Recommender System
Collaborative Filtering
Matrix Factorization",AIW: Web-based recommendation systems
270,Modal Ranking: A Uniquely Robust Voting Rule,Game Theory and Economic Paradigms (GTEP),"Computational social choice
Crowdsourcing
Noise models",GTEP: Social Choice / Voting
271,Proximal Iteratively Reweighted Algorithm with Multiple Splitting for Nonconvex Sparsity Optimization,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","Nonconvex Sparsity Optimization
General iterative solver
multiple splitting for multi-variable problem",NMLA: Machine Learning (General/other)
272,Extending Tournament Solutions,Game Theory and Economic Paradigms (GTEP),"Social Choice Theory
Tournament Solutions
Possible Winners",GTEP: Social Choice / Voting
273,Optimal Neighborhood Preserving Visualization by Maximum Satisfiability,"Novel Machine Learning Algorithms (NMLA)
Search and Constraint Satisfaction (SCS)","visualization
boolean optimization
maximum satisfiability
nonlinear dimensionality reduction
neighbor embedding","NMLA: Dimension Reduction/Feature Selection
NMLA: Unsupervised Learning (Other)
SCS: Constraint Optimization
SCS: SAT and CSP: Modeling/Formulations"
274,Dynamic Bayesian Probabilistic Matrix Factorization,"Novel Machine Learning Algorithms (NMLA)
Reasoning under Uncertainty (RU)","Probabilistic Matrix Factorization
Dynamic Hierarchical Dirichlet Process
Bayesian Nonparametrics
Collaborative Filtering","NMLA: Bayesian Learning
NMLA: Preferences/Ranking Learning
NMLA: Recommender Systems
RU: Probabilistic Inference
RU: Relational Probabilistic Models"
275,Echo-State Conditional Restricted Boltzmann Machines,Novel Machine Learning Algorithms (NMLA),"Conditional Restricted Boltzmann Machine
Echo-State Network
Contrastive Divergence","NMLA: Neural Networks/Deep Learning
NMLA: Time-Series/Data Streams
NMLA: Structured Prediction"
276,A Joint Optimization Model for Image Summarization Based on Image Content and Tags,"AI and the Web (AIW)
Machine Learning Applications (MLA)","image summarization
image tags
optimization model
similarity-inducing regularizer","AIW: AI for multimedia and multimodal web applications
MLA: Machine Learning Applications (General/other)"
277,"A Computational Method for (MSS,CoMSS) Partitioning","Heuristic Search and Optimization (HSO)
Search and Constraint Satisfaction (SCS)","SAT
CoMSS
MSS
Maximal Satisﬁable Subset","HSO: Search (General/Other)
SCS: Constraint Satisfaction
SCS: SAT and CSP: Solvers and Tools"
278,Feature Selection at the Discrete Limit,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","feature selection
sparse
L2p norm",NMLA: Dimension Reduction/Feature Selection
279,Computing General First-order Parallel and Prioritized Circumscription,Knowledge Representation and Reasoning (KRR),"first-order parallel and prioritized circumscription
first-order stable model semantics
translation
optimization","KRR: Common-Sense Reasoning
KRR: Nonmonotonic Reasoning"
280,Learning Word Representation Considering Proximity and Ambiguity,"AI and the Web (AIW)
Machine Learning Applications (MLA)
NLP and Knowledge Representation (NLPKR)
NLP and Machine Learning (NLPML)","word proximity
word ambiguity
neural networks","AIW: Knowledge acquisition from the web
AIW: Machine learning and the web
MLA: Applications of Unsupervised Learning
NLPKR: Natural Language Processing (General/Other)
NLPML: Natural Language Processing (General/Other)
NMLA: Neural Networks/Deep Learning"
281,Planning as Model Checking in Hybrid Domains,Planning and Scheduling (PS),"Planning in Mixed Discrete-Continuous Domains
PDDL+
Model Checking
Hybrid Automata
Planning as Model Checking","PS: Mixed Discrete/Continuous Planning
PS: Temporal Planning"
282,Novel Density-based Clustering Algorithms for Uncertain Data,Novel Machine Learning Algorithms (NMLA),"Uncertain data
Clustering
Density-based algorithm","NMLA: Clustering
RU: Uncertainty in AI (General/Other)"
283,Parallel Restarted Search,Heuristic Search and Optimization (HSO),"Restarts
Parallel Search
Deterministic Parallelization",HSO: Search (General/Other)
284,MaxSAT Portfolio,Search and Constraint Satisfaction (SCS),"MaxSAT
Algorithm Portfolios
Algorithm Tuning",SCS: Satisfiability (General/Other)
285,Large-Scale Supervised Multimodal Hashing with Semantic Correlation Maximization,"Novel Machine Learning Algorithms (NMLA)
Vision (VIS)","Multimodal Hashing
Cross-view Similarity Search
Image Retrieval
Scalability","NMLA: Big Data / Scalability
NMLA: Supervised Learning (Other)
VIS: Image and Video Retrieval"
286,Role-aware Conformity Modeling and Analysis in Social Networks,"Applications (APP)
Novel Machine Learning Algorithms (NMLA)","social conformity
role base conformity
probabilistic model","APP: Computational Social Science
NMLA: Data Mining and Knowledge Discovery"
287,Data Quality in Ontology-based Data Access: The Case of Consistency,Knowledge Representation and Reasoning (KRR),"Ontology-based data access
Description Logics
Data Quality
Data Management","APP: Other Applications
KRR: Ontologies
KRR: Description Logics
KRR: Knowledge Representation (General/Other)"
288,Sparse Compositional Metric Learning,Novel Machine Learning Algorithms (NMLA),"Metric Learning
Sparse Methods
Local Metric Learning
Multi-task Learning","NMLA: Classification
NMLA: Dimension Reduction/Feature Selection
NMLA: Transfer, Adaptation, Multitask Learning"
289,Improving Context and Category Matching for Entity Search,AI and the Web (AIW),"entity search
language model
category matching
context matching
result re-ranking","AIW: Enhancing web search and information retrieval
AIW: Question answering on the web"
290,ARIA: Asymmetry Resistant Instance Alignment,AI and the Web (AIW),"instance alignment
entity matching
resolution
deduplication
linkage
linked data","AIW: AI for web services: semantic descriptions, planning, matching, and coordination"
291,Diagnosing Analogue Linear Systems Using Dynamic Topological Reconfiguration,Knowledge Representation and Reasoning (KRR),"model-based diagnosis
analogue systems
modeling and analysis",KRR: Diagnosis and Abductive Reasoning
292,Simpler Bounded Suboptimal Search,Heuristic Search and Optimization (HSO),"bounded suboptimal search
distance estimates
additional heuristics
iterative deepening
implementation","HSO: Heuristic Search
HSO: Evaluation and Analysis (Search and Optimization)"
293,PAC Rank Elicitation through Adaptive Sampling of Stochastic Pairwise Preferences,Novel Machine Learning Algorithms (NMLA),"Preference learning
Online learning
Ranking models
Rank elicitation
Sample complexity","NMLA: Online Learning
NMLA: Preferences/Ranking Learning"
294,Elementary Loops Revisited,Knowledge Representation and Reasoning (KRR),"elementary loops
proper loops
positive body-head dependency graph",KRR: Logic Programming
295,On Computing Optimal Strategies in Open List Proportional Representation: the Two Parties Case,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","pure Nash equilibrium
open list proportional representation
computational social choice","GTEP: Game Theory
GTEP: Social Choice / Voting
GTEP: Equilibrium
MAS: Evaluation and Analysis (Multiagent Systems)"
296,Joint Morphological Generation and Syntactic Linearization,NLP and Knowledge Representation (NLPKR),"joint method
natural language generation
meaning text theory
syntactic linearization
morphological generation",NLPKR: Natural Language Processing (General/Other)
297,Machine Translation with Real-time Web Search,AI and the Web (AIW),"machine translation
real-time web search
web-based machine translation
phrase-level translation
sentence-level translation
search snippets","AIW: Human language technologies for web systems, including text summarization and machine translation"
298,Latent Low-Rank Bi-Directional Transfer Subspace Learning,Novel Machine Learning Algorithms (NMLA),"transfer learning
latent low-rank
subspace learning","NMLA: Classification
NMLA: Dimension Reduction/Feature Selection
NMLA: Transfer, Adaptation, Multitask Learning"
299,Adaptive Knowledge Transfer for Multiple Instance Learning in Image Classification,Novel Machine Learning Algorithms (NMLA),"Multiple Instance Learning
Image Classification
Transfer Learning","NMLA: Classification
NMLA: Transfer, Adaptation, Multitask Learning
VIS: Categorization"
300,Finding the k-best Equivalence Classes of Bayesian Network Structures for Model Averaging,"Novel Machine Learning Algorithms (NMLA)
Reasoning under Uncertainty (RU)","Bayesian network
Equivalence class
Model averaging
Dynamic programming","NMLA: Bayesian Learning
NMLA: Graphical Model Learning
RU: Bayesian Networks
RU: Graphical Models (Other)
RU: Probabilistic Inference
RU: Uncertainty Representations"
301,On the Challenges of Physical Implementations of RBMs,Machine Learning Applications (MLA),"Restricted Boltzmann Machine
RBM
Hardware
Neuromorphic
Empirical
Deep Learning",MLA: Applications of Unsupervised Learning
302,SLE: Signed Laplacian Embedding for Supervised Dimension Reduction,Novel Machine Learning Algorithms (NMLA),"Dimension reduction
Manifold learning
Signed graph Laplacian",NMLA: Dimension Reduction/Feature Selection
303,Envy-Free Division of Sellable Goods,Game Theory and Economic Paradigms (GTEP),"Computational social choice
Fair division
Envy-free allocation","GTEP: Auctions and Market-Based Systems
GTEP: Social Choice / Voting"
304,Potential-Aware Imperfect-Recall Abstraction with Earth Mover's Distance in Imperfect-Information Games,Game Theory and Economic Paradigms (GTEP),"Game Theory
Multiagent Systems
Game Solving
Game Abstraction
Imperfect Information
Poker","GTEP: Game Theory
GTEP: Imperfect Information"
305,Partial Multi-View Clustering,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","machine learning
unsupervised learning
multi-view clustering
partial view","MLA: Applications of Unsupervised Learning
MLA: Machine Learning Applications (General/other)
NMLA: Clustering
NMLA: Unsupervised Learning (Other)
NMLA: Machine Learning (General/other)"
306,User Intent Identification from Online Discussions using a Joint Aspect-Action Topic Model,"AI and the Web (AIW)
NLP and Machine Learning (NLPML)
NLP and Text Mining (NLPTM)
Novel Machine Learning Algorithms (NMLA)","Web
Online Discussions
Joint Modeling
Topic Modeling
Information Extraction
AI","AIW: Enhancing web search and information retrieval
AIW: Knowledge acquisition from the web
AIW: Machine learning and the web
NLPTM: Information Extraction
NMLA: Classification
NMLA: Clustering
NMLA: Data Mining and Knowledge Discovery
NMLA: Unsupervised Learning (Other)"
307,Voting with Rank Dependent Scoring Rules,Game Theory and Economic Paradigms (GTEP),"Computational Social Choice
Voting
Order Weighted Averages
Multi-agent Systems","GTEP: Auctions and Market-Based Systems
GTEP: Social Choice / Voting"
308,Implementing GOLOG in Answer Set Programming,"Knowledge Representation and Reasoning (KRR)
Planning and Scheduling (PS)","GOLOG
Answer Set Programming
Planning
Search Control","KRR: Action, Change, and Causality
KRR: Logic Programming
PS: Planning (General/Other)"
309,Agent Behavior Prediction and Its Generalization Analysis,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","generalization analysis
agent behavior model prediction
Markov Chain in Random Environments
empirical risk minimization algorithm","MLA: Environmental
MLA: Humanities
MLA: Applications of Supervised Learning
NMLA: Learning Theory"
310,Sparse Learning for Stochastic Composite Optimization,Heuristic Search and Optimization (HSO),"Stochastic Optimization
Online Learning
Composite Gradient Mapping
Stochastic Gradient Descent",HSO: Optimization
